date,type_of_data,firm,Variable,Value
2020-08-14,prices,XUU,Adjusted Price,33.193733
2020-08-17,prices,XUU,Adjusted Price,33.159103
2020-08-18,prices,XUU,Adjusted Price,33.129417
2020-08-19,prices,XUU,Adjusted Price,33.099735
2020-08-20,prices,XUU,Adjusted Price,33.099735
2020-08-21,prices,XUU,Adjusted Price,33.20858
2020-08-24,prices,XUU,Adjusted Price,33.629131
2020-08-25,prices,XUU,Adjusted Price,33.624184
2020-08-26,prices,XUU,Adjusted Price,33.861671
2020-08-27,prices,XUU,Adjusted Price,33.881462
2020-08-28,prices,XUU,Adjusted Price,34.010101
2020-08-31,prices,XUU,Adjusted Price,33.782509
2020-09-01,prices,XUU,Adjusted Price,34.133789
2020-09-02,prices,XUU,Adjusted Price,34.623608
2020-09-03,prices,XUU,Adjusted Price,33.584599
2020-09-04,prices,XUU,Adjusted Price,33.129417
2020-09-08,prices,XUU,Adjusted Price,32.664337
2020-09-09,prices,XUU,Adjusted Price,33.079945
2020-09-10,prices,XUU,Adjusted Price,32.703922
2020-09-11,prices,XUU,Adjusted Price,32.604969
2020-09-14,prices,XUU,Adjusted Price,33.050259
2020-09-15,prices,XUU,Adjusted Price,33.258057
2020-09-16,prices,XUU,Adjusted Price,33.119526
2020-09-17,prices,XUU,Adjusted Price,32.79298
2020-09-18,prices,XUU,Adjusted Price,32.565388
2020-09-21,prices,XUU,Adjusted Price,32.397171
2020-09-22,prices,XUU,Adjusted Price,32.703922
2020-09-23,prices,XUU,Adjusted Price,32.06073
2020-09-24,prices,XUU,Adjusted Price,32.099442
2020-09-25,prices,XUU,Adjusted Price,32.694973
2020-09-28,prices,XUU,Adjusted Price,33.201183
2020-09-29,prices,XUU,Adjusted Price,33.141628
2020-09-30,prices,XUU,Adjusted Price,33.16148
2020-10-01,prices,XUU,Adjusted Price,33.320286
2020-10-02,prices,XUU,Adjusted Price,33.141628
2020-10-05,prices,XUU,Adjusted Price,33.618057
2020-10-06,prices,XUU,Adjusted Price,33.290512
2020-10-07,prices,XUU,Adjusted Price,33.81657
2020-10-08,prices,XUU,Adjusted Price,33.925751
2020-10-09,prices,XUU,Adjusted Price,34.025005
2020-10-13,prices,XUU,Adjusted Price,34.36248
2020-10-14,prices,XUU,Adjusted Price,34.154037
2020-10-15,prices,XUU,Adjusted Price,34.322777
2020-10-16,prices,XUU,Adjusted Price,34.263222
2020-10-19,prices,XUU,Adjusted Price,33.737167
2020-10-20,prices,XUU,Adjusted Price,33.70739
2020-10-21,prices,XUU,Adjusted Price,33.647835
2020-10-22,prices,XUU,Adjusted Price,33.866196
2020-10-23,prices,XUU,Adjusted Price,33.975376
2020-10-26,prices,XUU,Adjusted Price,33.489025
2020-10-27,prices,XUU,Adjusted Price,33.350063
2020-10-28,prices,XUU,Adjusted Price,32.536163
2020-10-29,prices,XUU,Adjusted Price,32.943111
2020-10-30,prices,XUU,Adjusted Price,32.486538
2020-11-02,prices,XUU,Adjusted Price,32.665199
2020-11-03,prices,XUU,Adjusted Price,33.111851
2020-11-04,prices,XUU,Adjusted Price,33.727238
2020-11-05,prices,XUU,Adjusted Price,34.203667
2020-11-06,prices,XUU,Adjusted Price,34.163963
2020-11-09,prices,XUU,Adjusted Price,34.541138
2020-11-10,prices,XUU,Adjusted Price,34.640396
2020-11-11,prices,XUU,Adjusted Price,34.94809
2020-11-12,prices,XUU,Adjusted Price,34.749577
2020-11-13,prices,XUU,Adjusted Price,35.275635
2020-11-16,prices,XUU,Adjusted Price,35.623032
2020-11-17,prices,XUU,Adjusted Price,35.513851
2020-11-18,prices,XUU,Adjusted Price,35.0672
2020-11-19,prices,XUU,Adjusted Price,35.186306
2020-11-20,prices,XUU,Adjusted Price,35.047348
2020-11-23,prices,XUU,Adjusted Price,35.325264
2020-11-24,prices,XUU,Adjusted Price,35.672657
2020-11-25,prices,XUU,Adjusted Price,35.593258
2020-11-26,prices,XUU,Adjusted Price,35.72229
2020-11-27,prices,XUU,Adjusted Price,35.831467
2020-11-30,prices,XUU,Adjusted Price,35.493996
2020-12-01,prices,XUU,Adjusted Price,35.692513
2020-12-02,prices,XUU,Adjusted Price,35.72229
2020-12-03,prices,XUU,Adjusted Price,35.60318
2020-12-04,prices,XUU,Adjusted Price,35.72229
2020-12-07,prices,XUU,Adjusted Price,35.72229
2020-12-08,prices,XUU,Adjusted Price,35.900948
2020-12-09,prices,XUU,Adjusted Price,35.623032
2020-12-10,prices,XUU,Adjusted Price,35.414597
2020-12-11,prices,XUU,Adjusted Price,35.414597
2020-12-14,prices,XUU,Adjusted Price,35.245857
2020-12-15,prices,XUU,Adjusted Price,35.583324
2020-12-16,prices,XUU,Adjusted Price,35.732212
2020-12-17,prices,XUU,Adjusted Price,35.950577
2020-12-18,prices,XUU,Adjusted Price,36.059757
2020-12-21,prices,XUU,Adjusted Price,36.059757
2020-12-22,prices,XUU,Adjusted Price,36.198719
2020-12-23,prices,XUU,Adjusted Price,36.099461
2020-12-24,prices,XUU,Adjusted Price,36.109386
2020-12-29,prices,XUU,Adjusted Price,36.213604
2020-12-30,prices,XUU,Adjusted Price,36.180706
2020-12-31,prices,XUU,Adjusted Price,36.220585
2021-01-04,prices,XUU,Adjusted Price,35.871639
2021-01-05,prices,XUU,Adjusted Price,35.871639
2021-01-06,prices,XUU,Adjusted Price,36.210613
2021-01-07,prices,XUU,Adjusted Price,36.818779
2021-01-08,prices,XUU,Adjusted Price,37.008205
2021-01-11,prices,XUU,Adjusted Price,37.028145
2021-01-12,prices,XUU,Adjusted Price,36.968327
2021-01-13,prices,XUU,Adjusted Price,36.938416
2021-01-14,prices,XUU,Adjusted Price,36.719082
2021-01-15,prices,XUU,Adjusted Price,36.679199
2021-01-18,prices,XUU,Adjusted Price,36.948387
2021-01-19,prices,XUU,Adjusted Price,37.028145
2021-01-20,prices,XUU,Adjusted Price,37.267422
2021-01-21,prices,XUU,Adjusted Price,37.167721
2021-01-22,prices,XUU,Adjusted Price,37.407001
2021-01-25,prices,XUU,Adjusted Price,37.526638
2021-01-26,prices,XUU,Adjusted Price,37.287365
2021-01-27,prices,XUU,Adjusted Price,36.689167
2021-01-28,prices,XUU,Adjusted Price,37.008205
2021-01-29,prices,XUU,Adjusted Price,36.40004
2021-02-01,prices,XUU,Adjusted Price,37.068024
2021-02-02,prices,XUU,Adjusted Price,37.387062
2021-02-03,prices,XUU,Adjusted Price,37.407001
2021-02-04,prices,XUU,Adjusted Price,37.965317
2021-02-05,prices,XUU,Adjusted Price,37.995224
2021-02-08,prices,XUU,Adjusted Price,38.264412
2021-02-09,prices,XUU,Adjusted Price,38.144772
2021-02-10,prices,XUU,Adjusted Price,38.114861
2021-02-11,prices,XUU,Adjusted Price,38.214561
2021-02-12,prices,XUU,Adjusted Price,38.384048
2021-02-16,prices,XUU,Adjusted Price,38.304287
2021-02-17,prices,XUU,Adjusted Price,38.304287
2021-02-18,prices,XUU,Adjusted Price,38.025131
2021-02-19,prices,XUU,Adjusted Price,37.875587
2021-02-22,prices,XUU,Adjusted Price,37.58646
2021-02-23,prices,XUU,Adjusted Price,37.506699
2021-02-24,prices,XUU,Adjusted Price,37.775887
2021-02-25,prices,XUU,Adjusted Price,37.097935
2021-02-26,prices,XUU,Adjusted Price,37.25745
2021-03-01,prices,XUU,Adjusted Price,37.965317
2021-03-02,prices,XUU,Adjusted Price,37.51667
2021-03-03,prices,XUU,Adjusted Price,37.107906
2021-03-04,prices,XUU,Adjusted Price,36.579498
2021-03-05,prices,XUU,Adjusted Price,37.297333
2021-03-08,prices,XUU,Adjusted Price,37.25745
2021-03-09,prices,XUU,Adjusted Price,37.616367
2021-03-10,prices,XUU,Adjusted Price,37.835705
2021-03-11,prices,XUU,Adjusted Price,38.015163
2021-03-12,prices,XUU,Adjusted Price,37.915462
2021-03-15,prices,XUU,Adjusted Price,38.144772
2021-03-16,prices,XUU,Adjusted Price,37.985252
2021-03-17,prices,XUU,Adjusted Price,38.005192
2021-03-18,prices,XUU,Adjusted Price,37.706097
2021-03-19,prices,XUU,Adjusted Price,37.686157
2021-03-22,prices,XUU,Adjusted Price,37.925434
2021-03-23,prices,XUU,Adjusted Price,37.686157
2021-03-24,prices,XUU,Adjusted Price,37.407001
2021-03-25,prices,XUU,Adjusted Price,37.77
2021-03-26,prices,XUU,Adjusted Price,38.290001
2021-03-29,prices,XUU,Adjusted Price,38.189999
2021-03-30,prices,XUU,Adjusted Price,38.240002
2021-03-31,prices,XUU,Adjusted Price,38.279999
2021-04-01,prices,XUU,Adjusted Price,38.650002
2021-04-05,prices,XUU,Adjusted Price,39.080002
2021-04-06,prices,XUU,Adjusted Price,39.299999
2021-04-07,prices,XUU,Adjusted Price,39.349998
2021-04-08,prices,XUU,Adjusted Price,39.360001
2021-04-09,prices,XUU,Adjusted Price,39.52
2021-04-12,prices,XUU,Adjusted Price,39.639999
2021-04-13,prices,XUU,Adjusted Price,39.650002
2021-04-14,prices,XUU,Adjusted Price,39.52
2021-04-15,prices,XUU,Adjusted Price,39.970001
2021-04-16,prices,XUU,Adjusted Price,40.02
2021-04-19,prices,XUU,Adjusted Price,39.880001
2021-04-20,prices,XUU,Adjusted Price,39.779999
2021-04-21,prices,XUU,Adjusted Price,39.830002
2021-04-22,prices,XUU,Adjusted Price,39.549999
2021-04-23,prices,XUU,Adjusted Price,39.919998
2021-04-26,prices,XUU,Adjusted Price,39.779999
2021-04-27,prices,XUU,Adjusted Price,39.77
2021-04-28,prices,XUU,Adjusted Price,39.5
2021-04-29,prices,XUU,Adjusted Price,39.57
2021-04-30,prices,XUU,Adjusted Price,39.34
2021-05-03,prices,XUU,Adjusted Price,39.380001
2021-05-04,prices,XUU,Adjusted Price,39.130001
2021-05-05,prices,XUU,Adjusted Price,39.07
2021-05-06,prices,XUU,Adjusted Price,39
2021-05-07,prices,XUU,Adjusted Price,39.27
2021-05-10,prices,XUU,Adjusted Price,38.650002
2021-05-11,prices,XUU,Adjusted Price,38.349998
2021-05-12,prices,XUU,Adjusted Price,37.560001
2021-05-13,prices,XUU,Adjusted Price,38.16
2021-05-14,prices,XUU,Adjusted Price,38.610001
2021-05-17,prices,XUU,Adjusted Price,38.380001
2021-05-18,prices,XUU,Adjusted Price,38.049999
2021-05-19,prices,XUU,Adjusted Price,38.119999
2021-05-20,prices,XUU,Adjusted Price,38.279999
2021-05-21,prices,XUU,Adjusted Price,38.310001
2021-05-25,prices,XUU,Adjusted Price,38.57
2021-05-26,prices,XUU,Adjusted Price,38.860001
2021-05-27,prices,XUU,Adjusted Price,38.830002
2021-05-28,prices,XUU,Adjusted Price,38.880001
2021-05-31,prices,XUU,Adjusted Price,38.790001
