date,type_of_data,Variable,Value
2020-12-08,prices,Opening Price,29997.949219
2020-12-09,prices,Opening Price,30229.810547
2020-12-10,prices,Opening Price,30032.550781
2020-12-11,prices,Opening Price,29988.210938
2020-12-14,prices,Opening Price,30123.910156
2020-12-15,prices,Opening Price,29919.089844
2020-12-16,prices,Opening Price,30191.380859
2020-12-17,prices,Opening Price,30216
2020-12-18,prices,Opening Price,30314.259766
2020-12-21,prices,Opening Price,30159
2020-12-22,prices,Opening Price,30200.199219
2020-12-23,prices,Opening Price,30046.730469
2020-12-24,prices,Opening Price,30155.919922
2020-12-28,prices,Opening Price,30283.230469
2020-12-29,prices,Opening Price,30492.070313
2020-12-30,prices,Opening Price,30415.089844
2020-12-31,prices,Opening Price,30417.640625
2021-01-04,prices,Opening Price,30627.470703
2021-01-05,prices,Opening Price,30204.25
2021-01-06,prices,Opening Price,30362.779297
2021-01-07,prices,Opening Price,30901.179688
2021-01-08,prices,Opening Price,31069.580078
2021-01-11,prices,Opening Price,31015.369141
2021-01-12,prices,Opening Price,31015.009766
2021-01-13,prices,Opening Price,31084.880859
2021-01-14,prices,Opening Price,31085.669922
2021-01-15,prices,Opening Price,30926.769531
2021-01-19,prices,Opening Price,30887.419922
2021-01-20,prices,Opening Price,31017.539063
2021-01-21,prices,Opening Price,31198.009766
2021-01-22,prices,Opening Price,31141.560547
2021-01-25,prices,Opening Price,30989.849609
2021-01-26,prices,Opening Price,30968.550781
2021-01-27,prices,Opening Price,30893.779297
2021-01-28,prices,Opening Price,30377.189453
2021-01-29,prices,Opening Price,30553.910156
2021-02-01,prices,Opening Price,30054.730469
2021-02-02,prices,Opening Price,30276.880859
2021-02-03,prices,Opening Price,30689.650391
2021-02-04,prices,Opening Price,30737.779297
2021-02-05,prices,Opening Price,31093.810547
2021-02-08,prices,Opening Price,31191.199219
2021-02-09,prices,Opening Price,31359.880859
2021-02-10,prices,Opening Price,31428.019531
2021-02-11,prices,Opening Price,31466.490234
2021-02-12,prices,Opening Price,31420.800781
2021-02-16,prices,Opening Price,31472.080078
2021-02-17,prices,Opening Price,31485.609375
2021-02-18,prices,Opening Price,31558.599609
2021-02-19,prices,Opening Price,31504.130859
2021-02-22,prices,Opening Price,31381.119141
2021-02-23,prices,Opening Price,31501.890625
2021-02-24,prices,Opening Price,31499.75
2021-02-25,prices,Opening Price,31955.939453
2021-02-26,prices,Opening Price,31401.289063
2021-03-01,prices,Opening Price,31065.900391
2021-03-02,prices,Opening Price,31535.369141
2021-03-03,prices,Opening Price,31352.960938
2021-03-04,prices,Opening Price,31289.009766
2021-03-05,prices,Opening Price,31029.179688
2021-03-08,prices,Opening Price,31512.150391
2021-03-09,prices,Opening Price,31892.349609
2021-03-10,prices,Opening Price,31906.960938
2021-03-11,prices,Opening Price,32354.5
2021-03-12,prices,Opening Price,32462.400391
2021-03-15,prices,Opening Price,32798.839844
2021-03-16,prices,Opening Price,32966.75
2021-03-17,prices,Opening Price,32825.519531
2021-03-18,prices,Opening Price,32928.160156
2021-03-19,prices,Opening Price,32858.359375
2021-03-22,prices,Opening Price,32601.820313
2021-03-23,prices,Opening Price,32691.5
2021-03-24,prices,Opening Price,32470.880859
2021-03-25,prices,Opening Price,32346.810547
2021-03-26,prices,Opening Price,32681.070313
2021-03-29,prices,Opening Price,33087.550781
2021-03-30,prices,Opening Price,33127.878906
2021-03-31,prices,Opening Price,33116.039063
2021-04-01,prices,Opening Price,33054.578125
2021-04-05,prices,Opening Price,33222.378906
2021-04-06,prices,Opening Price,33500.019531
2021-04-07,prices,Opening Price,33444.980469
2021-04-08,prices,Opening Price,33469.890625
2021-04-09,prices,Opening Price,33526.191406
2021-04-12,prices,Opening Price,33775.058594
2021-04-13,prices,Opening Price,33721.160156
2021-04-14,prices,Opening Price,33668.949219
2021-04-15,prices,Opening Price,33788.53125
2021-04-16,prices,Opening Price,34058.160156
2021-04-19,prices,Opening Price,34182.378906
2021-04-20,prices,Opening Price,34034.179688
2021-04-21,prices,Opening Price,33808.300781
2021-04-22,prices,Opening Price,34109.878906
2021-04-23,prices,Opening Price,33804.519531
2021-04-26,prices,Opening Price,34044.230469
2021-04-27,prices,Opening Price,33932.128906
2021-04-28,prices,Opening Price,33860.460938
2021-04-29,prices,Opening Price,33855.640625
2021-04-30,prices,Opening Price,33988.75
2021-05-03,prices,Opening Price,33904.890625
2021-05-04,prices,Opening Price,34080.199219
2021-05-05,prices,Opening Price,34163.988281
2021-05-06,prices,Opening Price,34245.109375
2021-05-07,prices,Opening Price,34578.269531
2021-05-10,prices,Opening Price,34785.269531
2021-05-11,prices,Opening Price,34572.738281
2021-05-12,prices,Opening Price,34206.398438
2021-05-13,prices,Opening Price,33624.738281
2021-05-14,prices,Opening Price,34050.859375
2021-05-17,prices,Opening Price,34375.289063
2021-05-18,prices,Opening Price,34351.179688
2021-05-19,prices,Opening Price,33945.808594
2021-05-20,prices,Opening Price,33906.300781
2021-05-21,prices,Opening Price,34121.910156
2021-05-24,prices,Opening Price,34253.871094
2021-05-25,prices,Opening Price,34428.660156
2021-05-26,prices,Opening Price,34336.339844
2021-05-27,prices,Opening Price,34432.46875
2021-05-28,prices,Opening Price,34558.5
2021-06-01,prices,Opening Price,34584.191406
2021-06-02,prices,Opening Price,34614.621094
2021-06-03,prices,Opening Price,34550.308594
2021-06-04,prices,Opening Price,34618.691406
2021-06-07,prices,Opening Price,34766.199219
2021-06-08,prices,Opening Price,34645.839844
2021-06-09,prices,Opening Price,34626.160156
2020-06-10,prices,Closing Price,26989.990234
2020-06-11,prices,Closing Price,25128.169922
2020-06-12,prices,Closing Price,25605.539063
2020-06-15,prices,Closing Price,25763.160156
2020-06-16,prices,Closing Price,26289.980469
2020-06-17,prices,Closing Price,26119.609375
2020-06-18,prices,Closing Price,26080.099609
2020-06-19,prices,Closing Price,25871.460938
2020-06-22,prices,Closing Price,26024.960938
2020-06-23,prices,Closing Price,26156.099609
2020-06-24,prices,Closing Price,25445.939453
2020-06-25,prices,Closing Price,25745.599609
2020-06-26,prices,Closing Price,25015.550781
2020-06-29,prices,Closing Price,25595.800781
2020-06-30,prices,Closing Price,25812.880859
2020-07-01,prices,Closing Price,25734.970703
2020-07-02,prices,Closing Price,25827.359375
2020-07-06,prices,Closing Price,26287.029297
2020-07-07,prices,Closing Price,25890.179688
2020-07-08,prices,Closing Price,26067.279297
2020-07-09,prices,Closing Price,25706.089844
2020-07-10,prices,Closing Price,26075.300781
2020-07-13,prices,Closing Price,26085.800781
2020-07-14,prices,Closing Price,26642.589844
2020-07-15,prices,Closing Price,26870.099609
2020-07-16,prices,Closing Price,26734.710938
2020-07-17,prices,Closing Price,26671.949219
2020-07-20,prices,Closing Price,26680.869141
2020-07-21,prices,Closing Price,26840.400391
2020-07-22,prices,Closing Price,27005.839844
2020-07-23,prices,Closing Price,26652.330078
2020-07-24,prices,Closing Price,26469.890625
2020-07-27,prices,Closing Price,26584.769531
2020-07-28,prices,Closing Price,26379.279297
2020-07-29,prices,Closing Price,26539.570313
2020-07-30,prices,Closing Price,26313.650391
2020-07-31,prices,Closing Price,26428.320313
2020-08-03,prices,Closing Price,26664.400391
2020-08-04,prices,Closing Price,26828.470703
2020-08-05,prices,Closing Price,27201.519531
2020-08-06,prices,Closing Price,27386.980469
2020-08-07,prices,Closing Price,27433.480469
2020-08-10,prices,Closing Price,27791.439453
2020-08-11,prices,Closing Price,27686.910156
2020-08-12,prices,Closing Price,27976.839844
2020-08-13,prices,Closing Price,27896.720703
2020-08-14,prices,Closing Price,27931.019531
2020-08-17,prices,Closing Price,27844.910156
2020-08-18,prices,Closing Price,27778.070313
2020-08-19,prices,Closing Price,27692.880859
2020-08-20,prices,Closing Price,27739.730469
2020-08-21,prices,Closing Price,27930.330078
2020-08-24,prices,Closing Price,28308.460938
2020-08-25,prices,Closing Price,28248.439453
2020-08-26,prices,Closing Price,28331.919922
2020-08-27,prices,Closing Price,28492.269531
2020-08-28,prices,Closing Price,28653.869141
2020-08-31,prices,Closing Price,28430.050781
2020-09-01,prices,Closing Price,28645.660156
2020-09-02,prices,Closing Price,29100.5
2020-09-03,prices,Closing Price,28292.730469
2020-09-04,prices,Closing Price,28133.310547
2020-09-08,prices,Closing Price,27500.890625
2020-09-09,prices,Closing Price,27940.470703
2020-09-10,prices,Closing Price,27534.580078
2020-09-11,prices,Closing Price,27665.640625
2020-09-14,prices,Closing Price,27993.330078
2020-09-15,prices,Closing Price,27995.599609
2020-09-16,prices,Closing Price,28032.380859
2020-09-17,prices,Closing Price,27901.980469
2020-09-18,prices,Closing Price,27657.419922
2020-09-21,prices,Closing Price,27147.699219
2020-09-22,prices,Closing Price,27288.179688
2020-09-23,prices,Closing Price,26763.130859
2020-09-24,prices,Closing Price,26815.439453
2020-09-25,prices,Closing Price,27173.960938
2020-09-28,prices,Closing Price,27584.060547
2020-09-29,prices,Closing Price,27452.660156
2020-09-30,prices,Closing Price,27781.699219
2020-10-01,prices,Closing Price,27816.900391
2020-10-02,prices,Closing Price,27682.810547
2020-10-05,prices,Closing Price,28148.640625
2020-10-06,prices,Closing Price,27772.759766
2020-10-07,prices,Closing Price,28303.460938
2020-10-08,prices,Closing Price,28425.509766
2020-10-09,prices,Closing Price,28586.900391
2020-10-12,prices,Closing Price,28837.519531
2020-10-13,prices,Closing Price,28679.810547
2020-10-14,prices,Closing Price,28514
2020-10-15,prices,Closing Price,28494.199219
2020-10-16,prices,Closing Price,28606.310547
2020-10-19,prices,Closing Price,28195.419922
2020-10-20,prices,Closing Price,28308.789063
2020-10-21,prices,Closing Price,28210.820313
2020-10-22,prices,Closing Price,28363.660156
2020-10-23,prices,Closing Price,28335.570313
2020-10-26,prices,Closing Price,27685.380859
2020-10-27,prices,Closing Price,27463.189453
2020-10-28,prices,Closing Price,26519.949219
2020-10-29,prices,Closing Price,26659.109375
2020-10-30,prices,Closing Price,26501.599609
2020-11-02,prices,Closing Price,26925.050781
2020-11-03,prices,Closing Price,27480.029297
2020-11-04,prices,Closing Price,27847.660156
2020-11-05,prices,Closing Price,28390.179688
2020-11-06,prices,Closing Price,28323.400391
2020-11-09,prices,Closing Price,29157.970703
2020-11-10,prices,Closing Price,29420.919922
2020-11-11,prices,Closing Price,29397.630859
2020-11-12,prices,Closing Price,29080.169922
2020-11-13,prices,Closing Price,29479.810547
2020-11-16,prices,Closing Price,29950.439453
2020-11-17,prices,Closing Price,29783.349609
2020-11-18,prices,Closing Price,29438.419922
2020-11-19,prices,Closing Price,29483.230469
2020-11-20,prices,Closing Price,29263.480469
2020-11-23,prices,Closing Price,29591.269531
2020-11-24,prices,Closing Price,30046.240234
2020-11-25,prices,Closing Price,29872.470703
2020-11-27,prices,Closing Price,29910.369141
2020-11-30,prices,Closing Price,29638.640625
2020-12-01,prices,Closing Price,29823.919922
2020-12-02,prices,Closing Price,29883.789063
2020-12-03,prices,Closing Price,29969.519531
2020-12-04,prices,Closing Price,30218.259766
2020-12-07,prices,Closing Price,30069.789063
2020-12-08,prices,Closing Price,30173.880859
2020-12-09,prices,Closing Price,30068.810547
2020-12-10,prices,Closing Price,29999.259766
2020-12-11,prices,Closing Price,30046.369141
2020-12-14,prices,Closing Price,29861.550781
2020-12-15,prices,Closing Price,30199.310547
2020-12-16,prices,Closing Price,30154.539063
2020-12-17,prices,Closing Price,30303.369141
2020-12-18,prices,Closing Price,30179.050781
2020-12-21,prices,Closing Price,30216.449219
2020-12-22,prices,Closing Price,30015.509766
2020-12-23,prices,Closing Price,30129.830078
2020-12-24,prices,Closing Price,30199.869141
2020-12-28,prices,Closing Price,30403.970703
2020-12-29,prices,Closing Price,30335.669922
2020-12-30,prices,Closing Price,30409.560547
2020-12-31,prices,Closing Price,30606.480469
2021-01-04,prices,Closing Price,30223.890625
2021-01-05,prices,Closing Price,30391.599609
2021-01-06,prices,Closing Price,30829.400391
2021-01-07,prices,Closing Price,31041.130859
2021-01-08,prices,Closing Price,31097.970703
2021-01-11,prices,Closing Price,31008.689453
2021-01-12,prices,Closing Price,31068.689453
2021-01-13,prices,Closing Price,31060.470703
2021-01-14,prices,Closing Price,30991.519531
2021-01-15,prices,Closing Price,30814.259766
2021-01-19,prices,Closing Price,30930.519531
2021-01-20,prices,Closing Price,31188.380859
2021-01-21,prices,Closing Price,31176.009766
2021-01-22,prices,Closing Price,30996.980469
2021-01-25,prices,Closing Price,30960
2021-01-26,prices,Closing Price,30937.039063
2021-01-27,prices,Closing Price,30303.169922
2021-01-28,prices,Closing Price,30603.359375
2021-01-29,prices,Closing Price,29982.619141
2021-02-01,prices,Closing Price,30211.910156
2021-02-02,prices,Closing Price,30687.480469
2021-02-03,prices,Closing Price,30723.599609
2021-02-04,prices,Closing Price,31055.859375
2021-02-05,prices,Closing Price,31148.240234
2021-02-08,prices,Closing Price,31385.759766
2021-02-09,prices,Closing Price,31375.830078
2021-02-10,prices,Closing Price,31437.800781
2021-02-11,prices,Closing Price,31430.699219
2021-02-12,prices,Closing Price,31458.400391
2021-02-16,prices,Closing Price,31522.75
2021-02-17,prices,Closing Price,31613.019531
2021-02-18,prices,Closing Price,31493.339844
2021-02-19,prices,Closing Price,31494.320313
2021-02-22,prices,Closing Price,31521.689453
2021-02-23,prices,Closing Price,31537.349609
2021-02-24,prices,Closing Price,31961.859375
2021-02-25,prices,Closing Price,31402.009766
2021-02-26,prices,Closing Price,30932.369141
2021-03-01,prices,Closing Price,31535.509766
2021-03-02,prices,Closing Price,31391.519531
2021-03-03,prices,Closing Price,31270.089844
2021-03-04,prices,Closing Price,30924.140625
2021-03-05,prices,Closing Price,31496.300781
2021-03-08,prices,Closing Price,31802.439453
2021-03-09,prices,Closing Price,31832.740234
2021-03-10,prices,Closing Price,32297.019531
2021-03-11,prices,Closing Price,32485.589844
2021-03-12,prices,Closing Price,32778.640625
2021-03-15,prices,Closing Price,32953.460938
2021-03-16,prices,Closing Price,32825.949219
2021-03-17,prices,Closing Price,33015.371094
2021-03-18,prices,Closing Price,32862.300781
2021-03-19,prices,Closing Price,32627.970703
2021-03-22,prices,Closing Price,32731.199219
2021-03-23,prices,Closing Price,32423.150391
2021-03-24,prices,Closing Price,32420.060547
2021-03-25,prices,Closing Price,32619.480469
2021-03-26,prices,Closing Price,33072.878906
2021-03-29,prices,Closing Price,33171.371094
2021-03-30,prices,Closing Price,33066.960938
2021-03-31,prices,Closing Price,32981.550781
2021-04-01,prices,Closing Price,33153.210938
2021-04-05,prices,Closing Price,33527.191406
2021-04-06,prices,Closing Price,33430.238281
2021-04-07,prices,Closing Price,33446.261719
2021-04-08,prices,Closing Price,33503.570313
2021-04-09,prices,Closing Price,33800.601563
2021-04-12,prices,Closing Price,33745.398438
2021-04-13,prices,Closing Price,33677.269531
2021-04-14,prices,Closing Price,33730.890625
2021-04-15,prices,Closing Price,34035.988281
2021-04-16,prices,Closing Price,34200.671875
2021-04-19,prices,Closing Price,34077.628906
2021-04-20,prices,Closing Price,33821.300781
2021-04-21,prices,Closing Price,34137.308594
2021-04-22,prices,Closing Price,33815.898438
2021-04-23,prices,Closing Price,34043.488281
2021-04-26,prices,Closing Price,33981.570313
2021-04-27,prices,Closing Price,33984.929688
2021-04-28,prices,Closing Price,33820.378906
2021-04-29,prices,Closing Price,34060.359375
2021-04-30,prices,Closing Price,33874.851563
2021-05-03,prices,Closing Price,34113.230469
2021-05-04,prices,Closing Price,34133.03125
2021-05-05,prices,Closing Price,34230.339844
2021-05-06,prices,Closing Price,34548.53125
2021-05-07,prices,Closing Price,34777.761719
2021-05-10,prices,Closing Price,34742.820313
2021-05-11,prices,Closing Price,34269.160156
2021-05-12,prices,Closing Price,33587.660156
2021-05-13,prices,Closing Price,34021.449219
2021-05-14,prices,Closing Price,34382.128906
2021-05-17,prices,Closing Price,34327.789063
2021-05-18,prices,Closing Price,34060.660156
2021-05-19,prices,Closing Price,33896.039063
2021-05-20,prices,Closing Price,34084.148438
2021-05-21,prices,Closing Price,34207.839844
2021-05-24,prices,Closing Price,34393.980469
2021-05-25,prices,Closing Price,34312.460938
2021-05-26,prices,Closing Price,34323.050781
2021-05-27,prices,Closing Price,34464.640625
2021-05-28,prices,Closing Price,34529.449219
2021-06-01,prices,Closing Price,34575.308594
2021-06-02,prices,Closing Price,34600.378906
2021-06-03,prices,Closing Price,34577.039063
2021-06-04,prices,Closing Price,34756.390625
2021-06-07,prices,Closing Price,34630.238281
2021-06-08,prices,Closing Price,34599.820313
2021-06-09,prices,Closing Price,34447.140625
2020-06-10,prices,High Price,27355.220703
2020-06-11,prices,High Price,26294.080078
2020-06-12,prices,High Price,25965.550781
2020-06-15,prices,High Price,25891.580078
2020-06-16,prices,High Price,26611.029297
2020-06-17,prices,High Price,26400.070313
2020-06-18,prices,High Price,26154.199219
2020-06-19,prices,High Price,26451.439453
2020-06-22,prices,High Price,26059.810547
2020-06-23,prices,High Price,26314.970703
2020-06-24,prices,High Price,25992.960938
2020-06-25,prices,High Price,25769.609375
2020-06-26,prices,High Price,25641.689453
2020-06-29,prices,High Price,25601.150391
2020-06-30,prices,High Price,25905.380859
2020-07-01,prices,High Price,26019.310547
2020-07-02,prices,High Price,26204.410156
2020-07-06,prices,High Price,26297.529297
2020-07-07,prices,High Price,26174.929688
2020-07-08,prices,High Price,26109.490234
2020-07-09,prices,High Price,26103.279297
2020-07-10,prices,High Price,26101.320313
2020-07-13,prices,High Price,26639.089844
2020-07-14,prices,High Price,26690.519531
2020-07-15,prices,High Price,27071.330078
2020-07-16,prices,High Price,26879.160156
2020-07-17,prices,High Price,26808.429688
2020-07-20,prices,High Price,26765.019531
2020-07-21,prices,High Price,27025.380859
2020-07-22,prices,High Price,27035.240234
2020-07-23,prices,High Price,26973.849609
2020-07-24,prices,High Price,26625.699219
2020-07-27,prices,High Price,26625.460938
2020-07-28,prices,High Price,26556.839844
2020-07-29,prices,High Price,26602.449219
2020-07-30,prices,High Price,26374.929688
2020-07-31,prices,High Price,26440.019531
2020-08-03,prices,High Price,26707.259766
2020-08-04,prices,High Price,26832.720703
2020-08-05,prices,High Price,27221.669922
2020-08-06,prices,High Price,27394.099609
2020-08-07,prices,High Price,27456.240234
2020-08-10,prices,High Price,27803.859375
2020-08-11,prices,High Price,28154.880859
2020-08-12,prices,High Price,28043.890625
2020-08-13,prices,High Price,27986.099609
2020-08-14,prices,High Price,27977.810547
2020-08-17,prices,High Price,27999.810547
2020-08-18,prices,High Price,27891.119141
2020-08-19,prices,High Price,27920.419922
2020-08-20,prices,High Price,27781.460938
2020-08-21,prices,High Price,27959.480469
2020-08-24,prices,High Price,28314.939453
2020-08-25,prices,High Price,28400.740234
2020-08-26,prices,High Price,28353.800781
2020-08-27,prices,High Price,28634.220703
2020-08-28,prices,High Price,28733.349609
2020-08-31,prices,High Price,28643.660156
2020-09-01,prices,High Price,28659.259766
2020-09-02,prices,High Price,29162.880859
2020-09-03,prices,High Price,29199.349609
2020-09-04,prices,High Price,28539.75
2020-09-08,prices,High Price,27925.230469
2020-09-09,prices,High Price,28206.210938
2020-09-10,prices,High Price,28174.779297
2020-09-11,prices,High Price,27828.820313
2020-09-14,prices,High Price,28086.060547
2020-09-15,prices,High Price,28231.060547
2020-09-16,prices,High Price,28364.769531
2020-09-17,prices,High Price,28056.789063
2020-09-18,prices,High Price,27946.689453
2020-09-21,prices,High Price,27484.710938
2020-09-22,prices,High Price,27333.089844
2020-09-23,prices,High Price,27464.460938
2020-09-24,prices,High Price,27094.849609
2020-09-25,prices,High Price,27239.289063
2020-09-28,prices,High Price,27722.599609
2020-09-29,prices,High Price,27605.599609
2020-09-30,prices,High Price,28026.330078
2020-10-01,prices,High Price,28041.460938
2020-10-02,prices,High Price,27861.429688
2020-10-05,prices,High Price,28162.640625
2020-10-06,prices,High Price,28354.480469
2020-10-07,prices,High Price,28369.660156
2020-10-08,prices,High Price,28459.130859
2020-10-09,prices,High Price,28676.289063
2020-10-12,prices,High Price,28957.900391
2020-10-13,prices,High Price,28808.839844
2020-10-14,prices,High Price,28792.560547
2020-10-15,prices,High Price,28535.849609
2020-10-16,prices,High Price,28842.900391
2020-10-19,prices,High Price,28711.929688
2020-10-20,prices,High Price,28575.029297
2020-10-21,prices,High Price,28450.640625
2020-10-22,prices,High Price,28421.310547
2020-10-23,prices,High Price,28436.519531
2020-10-26,prices,High Price,28185.820313
2020-10-27,prices,High Price,27707.689453
2020-10-28,prices,High Price,27102.140625
2020-10-29,prices,High Price,26891.890625
2020-10-30,prices,High Price,26639.179688
2020-11-02,prices,High Price,27043.480469
2020-11-03,prices,High Price,27640.210938
2020-11-04,prices,High Price,28301.5
2020-11-05,prices,High Price,28495.050781
2020-11-06,prices,High Price,28431.960938
2020-11-09,prices,High Price,29933.830078
2020-11-10,prices,High Price,29478.859375
2020-11-11,prices,High Price,29593.109375
2020-11-12,prices,High Price,29311.830078
